S.No,Published Date,Bid Closing Date,Tender Opening Date,Title,Etender Ref,Tender ID,Organisation Chain,Tender Value (INR),Page,Scraped At
13,21-04-2026 18:30,28-04-2026 18:30,29-04-2026 18:30,RETROFITTING OF PWSS AT VILLAGE DEOTHANA GP DEOTHANA TQ PUSAD DIST YAVATMAL JJM 26/27_YAVAT_GP-DEOTHANA-01,,2026_YAVAT_1297030_1,RDD-CEO-YAVATMAL||YAVATMAL-Dy. CEO V.P.||PUSAD||DEOTHANA,NA,2,21-04-2026 19:09
14,21-04-2026 18:20,28-04-2026 17:00,30-04-2026 12:00,SUPPLY OF MATERIAL TO GRAM SABHA MURUMBHUSHI FOR CONSTRUCTION OF 250 MT KRISHI GODOWN. 02/2026-2027/2nd call,,2026_GDCHR_1297039_1,COLLECTOR GADCHIROLI||Gadchiroli-EGS Dept||Gramsabha Rohayo Samiti Murumbhushi,NA,2,21-04-2026 19:09
15,21-04-2026 18:15,28-04-2026 17:00,30-04-2026 11:00,"Construction and Repair work of Public Toilet in Various areas of Satana Municipal Council Area, At Satana Tal, Baglan, Dist,Nashik STN/1/2026",,2026_DMA_1297015_1,"Directorate Of Municipal Administration||Municipal Administration, Nashik||Municipal Council Satana","2,85,00,144",2,21-04-2026 19:09
16,21-04-2026 18:15,25-04-2026 17:00,26-04-2026 17:00,CONSTRUCTION OF CEMENT CONCRATE ROAD AT SHAHU NAGAR GP DEOTHANA TQ PUSAD DIST YAVATMAL 25/26_YAVAT_GP-DEOTHANA-02,,2026_YAVAT_1269689_4,RDD-CEO-YAVATMAL||YAVATMAL-Dy. CEO V.P.||PUSAD||DEOTHANA,NA,2,21-04-2026 19:09
17,21-04-2026 18:15,28-04-2026 15:00,30-04-2026 15:00,Supplying and Erecting Street Light fitting at Ward No. 5 Under NWCMC Nanded NWCMC/ELECTRI/680//20/04/2026,,2026_NWCMC_1297021_1,Nanded Waghala City Municipal Corporation Nanded||PWD Department,"7,09,990",2,21-04-2026 19:09
18,21-04-2026 18:15,29-04-2026 17:00,30-04-2026 17:00,"Renovation of Kitchen Shed in Gymnashiam Hall Near S.T. Stand for Jawhar Muncipal Council, Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-10",,2026_DMA_1297032_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,NA,2,21-04-2026 19:09
19,21-04-2026 18:15,29-04-2026 17:00,30-04-2026 17:00,"Supplying bleach, PAC powder and ALUM required for water supply department for financial year 2026 2027 MCJ_NIT_07_2026-27",,2026_DMA_1297028_1,"Directorate Of Municipal Administration||Municipal Administration, Parbhani||Municipal Council, Jintur||Water Supply Department",NA,2,21-04-2026 19:09
20,21-04-2026 18:15,12-05-2026 16:00,13-05-2026 17:00,Expression of Interest (EoI) for Training of 15000 Volunteers on Disaster Management during Simhastha Kumbh Mela 2027 003/2026-27/NTKMA,,2026_UDDMH_1297034_1,Urban Development Department Mantralaya||Nashik Trimbakeshwar Kumbh Mela Authority Nashik,0,2,21-04-2026 19:09
21,21-04-2026 18:10,28-04-2026 17:00,30-04-2026 12:00,SUPPLY OF MATERIAL TO GRAM SABHA MURUMBHUSHI FOR CONSTRUCTION OF CEMENT PLUG BANDHARA. 01/2026-2027/2nd CALL,,2026_GDCHR_1297029_1,COLLECTOR GADCHIROLI||Gadchiroli-EGS Dept||Gramsabha Rohayo Samiti Murumbhushi,NA,3,21-04-2026 19:09
22,21-04-2026 18:00,28-04-2026 16:00,29-04-2026 16:00,To Carryout Total station survey MDM/P/140,,2026_MCGM_1296868_1,Municipal Corporation of Greater Mumbai||L Ward||Maintenance Department,NA,3,21-04-2026 19:09
23,21-04-2026 18:00,28-04-2026 16:00,29-04-2026 16:00,To Carryout Total station survey MDM/P/141,,2026_MCGM_1296873_1,Municipal Corporation of Greater Mumbai||L Ward||Maintenance Department,NA,3,21-04-2026 19:09
24,21-04-2026 18:00,22-04-2026 18:00,30-04-2026 12:00,AS PER NIT npt/pwd/26,,2026_DMA_1296913_1,"Directorate Of Municipal Administration||Municipal Administration, Gondia||Municipal Council, Tiroda",NA,3,21-04-2026 19:09
25,21-04-2026 18:00,02-05-2026 16:00,04-05-2026 10:00,Proposed Construction of Sub Station Room for E-Bus at Kurla Neharu Nagar Depot in Mumbai Division. E Tender Notice No.01 of 2026-27 (Civil),,2026_MSRTC_1296856_1,Maharashtra State Road Transport Corporation||Regional Office Mumbai||EE (Civil) ST Mumbai,NA,3,21-04-2026 19:09
26,21-04-2026 18:00,22-04-2026 18:00,30-04-2026 12:00,AS PER NIT npt/pwd/26,,2026_DMA_1296925_1,"Directorate Of Municipal Administration||Municipal Administration, Gondia||Municipal Council, Tiroda",NA,3,21-04-2026 19:09
27,21-04-2026 18:00,02-05-2026 16:00,04-05-2026 10:00,Special Repairs to Depot at Kudal in Sindhudurg Division. (Replacing AC sheet with G.I. sheet) E Tender Notice No.01 of 2026-27 (Civil),,2026_MSRTC_1296856_2,Maharashtra State Road Transport Corporation||Regional Office Mumbai||EE (Civil) ST Mumbai,NA,3,21-04-2026 19:09
28,21-04-2026 18:00,28-04-2026 16:00,29-04-2026 16:00,Under MLA Fund Thane 148 Constituency Assembly Providing Benches and Dustbins at Ward No.12A In TMC limit. TMC/PRO/PWD/54/2026-27,,2026_TMC_1296932_1,Thane Municipal Corporation Thane||Public Works Department,"8,27,400",3,21-04-2026 19:09
29,21-04-2026 18:00,02-05-2026 16:00,04-05-2026 10:00,Providing Two bay extensions to the existing Depot at Chiplun in Ratnagiri Division. (fifth Call) E Tender Notice No.01 of 2026-27 (Civil),,2026_MSRTC_1296856_3,Maharashtra State Road Transport Corporation||Regional Office Mumbai||EE (Civil) ST Mumbai,NA,3,21-04-2026 19:09
30,21-04-2026 18:00,30-04-2026 11:00,05-05-2026 12:00,"Annual maintenance watering Flower pot tree plant maintenance of road side gutters ,slab drain etc. along main four lane roads. 01/C/01",,2026_MIDC_1296946_1,Maharashtra Industrial Development Corporation||Chief Engineer Aurangabad Zone||Superintending Engineer Aurangabad||Civil Division Aurangabad,"30,67,468",3,21-04-2026 19:09
31,21-04-2026 18:00,29-04-2026 11:00,30-04-2026 12:00,Removal of adhered contaminates and revamping Approach Bridge at Paithan Jackwell 01/C/02,,2026_MIDC_1296957_1,Maharashtra Industrial Development Corporation||Chief Engineer Aurangabad Zone||Superintending Engineer Aurangabad||Civil Division Aurangabad,NA,4,21-04-2026 19:09
32,21-04-2026 18:00,25-04-2026 18:00,27-04-2026 09:00,"CONSTRUCTING CC ROAD IN TANDA VASTI AT VILLAGE SAIYYADNAGAR PAIKI ICHHAPUR TAL.SAKRI, DIST.DHULE GP/SAYYADNAGARICHHAPUR/2026",,2026_DHULE_1296978_1,RDD-CEO-DHULE||DHULE-Dy. CEO V.P.||SAKRI||SAYYADNAGAR,NA,4,21-04-2026 19:09
33,21-04-2026 18:00,27-04-2026 10:00,28-04-2026 10:05,Supply of Dumper With JCB AE/SWM/777/JCB Dumper S-2,,2026_MCGM_1296981_1,Municipal Corporation of Greater Mumbai||S Ward||SWM Department,NA,4,21-04-2026 19:09
34,21-04-2026 18:00,27-04-2026 17:00,28-04-2026 17:00,"Beautification of Central Median at Madhav Palav Marg, Curryroad in F south ward SG/282 dt 20.04.2026",,2026_MCGM_1296999_1,Municipal Corporation of Greater Mumbai||Garden Department||Deputy Superintendent of Gardens (Zone-II)||Assistant Superintendent of Gardens (F/South Ward),"5,45,100",4,21-04-2026 19:09
35,21-04-2026 18:00,01-05-2026 18:00,02-05-2026 18:00,"Providing and fixing paver blocks other civil works at warchi peth amardham area for igatpuri municipal council,igatpuri. 2026_WARCHIPETH",,2026_DMA_1297004_1,"Directorate Of Municipal Administration||Municipal Administration, Nashik||Municipal Council, Igatpuri","47,02,086",4,21-04-2026 19:09
36,21-04-2026 18:00,29-04-2026 18:00,30-04-2026 18:00,Vividha Sahitya Purvatha Karne Babat MCB/F I R E/26-27/1,,2026_DMA_1296993_1,"Directorate Of Municipal Administration||Municipal Administration, Nagpur||Municipal Council, Butibori",NA,4,21-04-2026 19:09
37,21-04-2026 18:00,27-04-2026 18:00,28-04-2026 18:00,Construction of Internal Cement Road At Takwiki Taluka and District Dharashiv JILHA VARSHIK YOJANA JAN SUVIDHA VISHESH ANUDAN SAN 2025-2026 E-TENDERNOTICETAKWIKI-1,,2026_OSMAN_1297013_1,RDD-CEO-OSMANABAD||OSMANABAD-Dy. CEO V.P.||OSMANABAD,"4,16,594",4,21-04-2026 19:09
38,21-04-2026 18:00,27-04-2026 18:00,28-04-2026 18:00,Construction of Wire Fencing to Kabrasthan at Takwiki Taluka and District Dharashiv JILHHA VARSHIK YOJANA JANSUVIDHA VESHESH ANUDHAN SAN 2025-2026 E-TENDERNOTICETAKWIKI-2,,2026_OSMAN_1297019_1,RDD-CEO-OSMANABAD||OSMANABAD-Dy. CEO V.P.||OSMANABAD,"5,81,730",4,21-04-2026 19:09
39,21-04-2026 17:50,29-04-2026 17:00,30-04-2026 17:00,"Renovation to Boudh Vihar in Ward No. 03 for Jawhar Muncipal Council Area, Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-9",,2026_DMA_1297016_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"41,07,842",4,21-04-2026 19:09
40,21-04-2026 17:45,04-05-2026 17:00,05-05-2026 17:00,Construction Of Samajik Sabhagruh At Adnale (V.P.Kakadshet ) Tal- Tala Dist-Raigad ZP-RAIGAD-WORKDIV-13-2026-27,,2026_RAIGA_1296684_2,RDD-CEO-RAIGAD||RAIGAD-WORKS DIV.,"14,99,494",4,21-04-2026 19:09
41,21-04-2026 17:40,29-04-2026 17:00,30-04-2026 17:00,Construction of R.C.C. Gutter and C.C. Road in Jawhar Municipal Council Ward No.10 Area Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-8,,2026_DMA_1297003_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"16,92,047",5,21-04-2026 19:09
42,21-04-2026 17:40,28-04-2026 16:00,29-04-2026 16:00,Fire Fighter and Tanker Maintenance SHD/wss/2026-27,,2026_DMA_1297005_1,"Directorate Of Municipal Administration||Municipal Administration, Nandurbar||Municipal Council, Shahada||Water Supply and Sanitation Department",1,5,21-04-2026 19:09
43,21-04-2026 17:30,28-04-2026 12:00,29-04-2026 12:00,Construction Of Anganwadi Building At. Poi Tanda U_V Poi Tanda Tq Georai Dist Beed E-TENDER GP /ZP /2026-2027,,2026_BEED_1296991_1,RDD-CEO-BEED||BEED-Dy. CEO V.P.||ASHTI||MAHINDA,"11,07,848",5,21-04-2026 19:09
44,21-04-2026 17:30,28-04-2026 16:00,29-04-2026 16:00,Water Purification material SHD/wss/2026-27,,2026_DMA_1296989_1,"Directorate Of Municipal Administration||Municipal Administration, Nandurbar||Municipal Council, Shahada||Water Supply and Sanitation Department",1,5,21-04-2026 19:09
45,21-04-2026 17:30,28-04-2026 15:00,30-04-2026 12:00,MFDC/ENGG./1/2026-27 MFDC/ENGG./1/2026-27,,2026_MFDCM_1296996_1,Maharashtra Fisheries Development Corporation Mumbai,NA,5,21-04-2026 19:09
46,21-04-2026 17:20,29-04-2026 17:00,30-04-2026 17:00,Construction of R.C.C. Gutter and C.C. Road in Jawhar Municipal Council Ward No.9 Area Taluka Jawhar District Palghar. Ow/E-Notice/757/2026-27-7,,2026_DMA_1296985_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"16,91,803",5,21-04-2026 19:09
47,21-04-2026 17:15,07-05-2026 17:00,08-05-2026 17:00,"preparation of detailed projects Report for PMGSY and MMGSY works in Konkan region Palghar, Raigad, Ratnagiri, Sindhudurg and Thane districts 3/2026-27/KONKAN/DPR",,2026_MMGSY_1296976_1,CE RDD MMGSY||SE Konkan||EE Thane,NA,5,21-04-2026 19:09
48,21-04-2026 17:05,28-04-2026 16:00,29-04-2026 16:00,Water supply electric and Pump Maintainance SHD/wss/2026-27,,2026_DMA_1296960_1,"Directorate Of Municipal Administration||Municipal Administration, Nandurbar||Municipal Council, Shahada||Water Supply and Sanitation Department",1,5,21-04-2026 19:09
49,21-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,"Construction of Sewerage Pumping Station of 3.5 MLD Capacity At Plot No-105, Sector-17, of New Panvel (West) Within Panvel Municipal Corporation Area And Operation, Maintenance and Repairs of Same For Further 5 Years (2nd Call). PMC/SEWERAGE/42/2025-26",,2026_PMC_1296752_1,Panvel Municipal Corporation,"6,92,16,165",5,21-04-2026 19:09
50,21-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,"Construction of Sewerage Pumping Station of 15 MLD Capacity At Plot No-3A, Sector-26, of Kamothe Within Panvel Municipal Corporation Area And Operation, Maintenance and Repairs of Same For Further 5 Years (2nd Call). PMC/SEWERAGE/43/2025-26.",,2026_PMC_1296770_1,Panvel Municipal Corporation,"7,49,33,864",5,21-04-2026 19:09
51,21-04-2026 17:00,29-04-2026 17:00,04-05-2026 15:00,"Operation and Maintenance of 2 Nos. of Public Toilet Blocks at Kharkopar Railway Station on NUR Corridor, Ulwe, Navi Mumbai on Pay and Use basis. (2nd Call) CANO05/CIDCO/EE(NUR)/25-26",,2026_CIDCO_1296776_1,City and Industrial Development Corporation of Maharashtra Ltd||Engineering Department,NA,6,21-04-2026 19:10
52,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:00,"Construction of Underground Tank at Filtration House for Jawhar Municipal Council Area, Jawhar Taluka Jawhar District Palghar Ow/E-Notice/757/2026-27-1",,2026_DMA_1296765_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"55,42,502",6,21-04-2026 19:10
