S.No,Published Date,Bid Closing Date,Tender Opening Date,Title,Etender Ref,Tender ID,Organisation Chain,Tender Value (INR),Page,Scraped At
507,20-04-2026 18:15,27-04-2026 18:00,29-04-2026 11:00,Est.No 123096/2025-26 Notice No.02/2026-27 Est.No 123096/2025-26,,2026_PWDM_1296662_1,Public Works Department Mantralaya||CE-Electrical PWD Mumbai||SE- Electrical Circle PWD Nanded||EE-Electrical Division PWD Osmanabad,"11,86,440",51,21-04-2026 19:17
508,20-04-2026 18:10,29-04-2026 16:00,30-04-2026 17:00,Expression of Interest (EoI) for Supply of Dustbins during Simhastha Kumbh Mela 2027 001/2026-27/NTKMA,,2026_UDDMH_1296670_1,Urban Development Department Mantralaya||Nashik Trimbakeshwar Kumbh Mela Authority Nashik,0,51,21-04-2026 19:17
509,20-04-2026 18:05,25-04-2026 18:05,27-04-2026 11:00,Etender/JS/PS/32/2026-27 Etender/JS/PS/30/2026-27,,2026_SOLAP_1296651_3,RDD-CEO-SOLAPUR||SOLAPUR-Dy. CEO V.P.||MALSHIRAS,NA,51,21-04-2026 19:17
510,20-04-2026 18:00,15-05-2026 11:00,18-05-2026 12:00,Talegaon Industrial Area... Construction of cement concrete approach road from Talegaon Industrial Area Phase-I to Phase-IV 38193,,2026_MIDC_1283944_1,Maharashtra Industrial Development Corporation||Chief Engineer Pune Zone||Superintending Engineer Pune-2||Civil Division Pune,"64,99,60,493",51,21-04-2026 19:17
511,20-04-2026 18:00,27-04-2026 11:00,28-04-2026 13:00,Panand Road From Mahadev Mangutakar farm to pandurang jadhav Farm At SAMBARE ETENDER NAREGA GPS-25-26/02,,2026_KOLHA_1296073_1,RDD-CEO-KOLHAPUR||KOLHAPUR-Dy. CEO V.P.||GADHINGLAJ||SAMBARE,"14,76,000",52,21-04-2026 19:17
512,20-04-2026 18:00,20-05-2026 18:00,21-05-2026 18:00,"Providing, fabricating and installation of Roof gutters by removing existing roof gutters of Mumbai Monorails Stations MMMOCL-15012(15)/26/2025-CIVIL",,2026_MMRDA_1296105_1,Mumbai Metropolitan Region Development Authority||Maha Mumbai Metro Operation Corporation||Maintenance Department,"1,21,60,167",52,21-04-2026 19:17
513,20-04-2026 18:00,20-05-2026 18:00,21-05-2026 18:00,"Three Year Contract for Hiring of Calibration Service for the Measuring Tools and Instruments Rolling Stock Maintenance, Charkop and Mandale Depot MMMOCL-12012(12)/67/2025-maint",,2026_MMRDA_1296118_1,Mumbai Metropolitan Region Development Authority||Maha Mumbai Metro Operation Corporation||Maintenance Department,"43,39,878",52,21-04-2026 19:17
514,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_1,Pimpri Chinchwad Municipal Corporation||Electrical Dept,0,52,21-04-2026 19:17
515,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_2,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,52,21-04-2026 19:17
516,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_3,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,52,21-04-2026 19:17
517,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_4,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,52,21-04-2026 19:17
518,20-04-2026 18:00,25-04-2026 18:00,27-04-2026 11:00,FFC/01/2026 FFC/01/2026,,2026_SOLAP_1296585_1,RDD-CEO-SOLAPUR||SOLAPUR-Dy. CEO V.P.||MALSHIRAS||KHANDALI,"15,47,883",52,21-04-2026 19:17
519,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_5,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,52,21-04-2026 19:17
520,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_6,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,52,21-04-2026 19:17
521,20-04-2026 18:00,25-04-2026 18:00,27-04-2026 11:00,FFC/02/2026 FFC/02/2026,,2026_SOLAP_1296595_1,RDD-CEO-SOLAPUR||SOLAPUR-Dy. CEO V.P.||MALSHIRAS||KHANDALI,"14,99,238",53,21-04-2026 19:17
522,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_7,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
523,20-04-2026 18:00,27-04-2026 16:00,28-04-2026 16:00,Providing services of Swimming Lifeguards and Instructors for Swimming Training Camp at SVP Swimming Pool Kandivali West AO/WS-2/37,,2026_MCGM_1296580_1,Municipal Corporation of Greater Mumbai||Theatres and Swimming Pools,"9,75,600",53,21-04-2026 19:17
524,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_8,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
525,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_9,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
526,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Audio Visual (AV) system for Conference Room/Multipurpose Hall of New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/15/2026-27,,2026_PCMCP_1296565_10,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
527,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Projection Mapping Related items for New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/16/2026-27,,2026_PCMCP_1296607_1,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
528,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Projection Mapping Related items for New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/16/2026-27,,2026_PCMCP_1296607_2,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
529,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Projection Mapping Related items for New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/16/2026-27,,2026_PCMCP_1296607_3,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
530,20-04-2026 18:00,27-04-2026 15:00,28-04-2026 15:00,Rate Analysis of Projection Mapping Related items for New Main Administrative Building Of PCMC AS PER SPECIFICATIONS MENTIONED IN ANNEXURE A (part 1) Quotation Notice-Ele/Ho/16/2026-27,,2026_PCMCP_1296607_4,Pimpri Chinchwad Municipal Corporation||Electrical Dept,NA,53,21-04-2026 19:17
531,20-04-2026 18:00,27-04-2026 17:00,29-04-2026 11:00,"As per the guidelines of ABC, stray dogs in Satana Municipal Council area should be captured, sterilized, vaccinated and kept in shelter houses. STN/ABC/2026",,2026_DMA_1296603_1,"Directorate Of Municipal Administration||Municipal Administration, Nashik||Municipal Council Satana",0,54,21-04-2026 19:17
532,20-04-2026 18:00,27-04-2026 18:00,28-04-2026 18:00,e-Tender Notice No.01/2026-27 GP/MUKATI/01/2026-27,,2026_DHULE_1296615_1,RDD-CEO-DHULE||DHULE-Dy. CEO V.P.||DHULE||MUKATI,"6,95,000",54,21-04-2026 19:17
533,20-04-2026 18:00,27-04-2026 16:00,28-04-2026 16:00,Providing services of Swimming Lifeguards and Instructors for Swimming Training Camp at Shree Bhavdevi Kandarpada Swimming Pool Dahisar West AO/WS-2/38,,2026_MCGM_1296622_1,Municipal Corporation of Greater Mumbai||Theatres and Swimming Pools,"4,87,800",54,21-04-2026 19:17
534,20-04-2026 18:00,27-04-2026 17:00,28-04-2026 18:05,Solid And Liquid Waste Management Under Swachh Bharat Mission II In Village CHANDRAPADA-E Tender/2025-26/02,,2026_PALGH_1296635_1,RDD-CEO-PALGHAR||PALGHAR-Dy. CEO V.P.||VASAI||CHANDRAPADA,NA,54,21-04-2026 19:17
535,20-04-2026 18:00,28-04-2026 11:00,29-04-2026 11:00,499/2026 499/2026,,2026_DMA_1296640_1,"Directorate Of Municipal Administration||Municipal Administration, Gadchiroli||Nagar Panchayat Aheri",0,54,21-04-2026 19:17
536,20-04-2026 18:00,07-05-2026 16:00,08-05-2026 16:00,Construction of Four classroom at AMC Hindi Primary School No. 11 Bhaji Bazar in Amravati AMC/PWD/CE/NIT/02/2026 dt.20.04.2026,,2026_AMC_1296639_1,Amravati Municipal Corporation||Office of City Engineer,"72,24,197",54,21-04-2026 19:17
537,20-04-2026 18:00,27-04-2026 17:00,28-04-2026 17:00,TN-04 Work No.01 Tender Notice No. 04 for 2026-2027,,2026_PWR_1296648_1,Public Works Region||Public Works Region - Nashik||Public Works Circle - Nashik||Public Works Division Malegaon,"41,50,694",54,21-04-2026 19:17
538,20-04-2026 18:00,27-04-2026 16:00,28-04-2026 16:00,Providing services of Swimming Lifeguards and Instructors for Swimming Training Camp at Shree Murbalidevi Swimming Pool AND Gymnasium Dahisar East AO/WS-2/39,,2026_MCGM_1296647_1,Municipal Corporation of Greater Mumbai||Theatres and Swimming Pools,"4,87,800",54,21-04-2026 19:17
539,20-04-2026 18:00,29-04-2026 16:00,30-04-2026 16:30,Empanelment of Architectural Urban Design Firms for Projects at Nashik and Trimbakeshwar for Simhastha Kumbh Mela 2027 002/2026-27/NTKMA,,2026_UDDMH_1296645_1,Urban Development Department Mantralaya||Nashik Trimbakeshwar Kumbh Mela Authority Nashik,0,54,21-04-2026 19:17
540,20-04-2026 18:00,27-04-2026 17:00,28-04-2026 17:00,TN-04 Work No.02 Tender Notice No. 04 for 2026-2027,,2026_PWR_1296648_2,Public Works Region||Public Works Region - Nashik||Public Works Circle - Nashik||Public Works Division Malegaon,"39,10,940",54,21-04-2026 19:17
541,20-04-2026 18:00,28-04-2026 18:00,30-04-2026 16:00,Supply of alum grade-1 and alum grade-4 and poly aluminum chloride to water supply department in financial year 2026-27 for Municipal Council Tuljapur Tq Tuljapur Dist Dharashiv. 03/2026-27,,2026_DMA_1296619_1,"Directorate Of Municipal Administration||Municipal Administration, Osmanabad||Municipal Council, Tuljapur",NA,55,21-04-2026 19:17
542,20-04-2026 18:00,25-04-2026 18:00,27-04-2026 11:00,Etender/JS/PS/30/2026-27 Etender/JS/PS/30/2026-27,,2026_SOLAP_1296651_1,RDD-CEO-SOLAPUR||SOLAPUR-Dy. CEO V.P.||MALSHIRAS,NA,55,21-04-2026 19:17
543,20-04-2026 18:00,27-04-2026 11:00,28-04-2026 12:00,Development of new garden (Electrical work) 02/2026-electric,,2026_DMA_1296644_1,"Directorate Of Municipal Administration||Municipal Administration, Aurangabad||Municipal Council Soegaon",NA,55,21-04-2026 19:17
544,20-04-2026 18:00,25-04-2026 18:00,27-04-2026 11:00,Etender/JS/PS/31/2026-27 Etender/JS/PS/30/2026-27,,2026_SOLAP_1296651_2,RDD-CEO-SOLAPUR||SOLAPUR-Dy. CEO V.P.||MALSHIRAS,NA,55,21-04-2026 19:17
545,20-04-2026 18:00,27-04-2026 17:00,29-04-2026 11:00,"Maintenance and Shifting of Electrical poles for three fiancial years (2026-2029) of street lights, electrical poles and allied works for Shirdi Municipal Council, Shirdi, Tal. Rahata, Dist. Ahilyanagar. 2026_Shirdi MC E-Tender for Elect Deptt",,2026_DMA_1296660_1,"Directorate Of Municipal Administration||Municipal Administration, Ahmednagar||Municipal Council Shirdi",1,55,21-04-2026 19:17
546,20-04-2026 18:00,29-04-2026 18:00,30-04-2026 18:00,RFP for Appointment of Agency For professional advisory and supervisory services for Oversight and Management of Aquatic Centres/Projects of MTDC across Maharashtra MTDC/AT/O.Agency/A-526/2026,,2026_TCADM_1296658_1,Tourism and Cultural Affairs Dept. Maharashtra||Maharashtra Tourism Development Corporation||Mumbai Head Office,NA,55,21-04-2026 19:17
547,20-04-2026 17:55,25-04-2026 17:55,27-04-2026 17:55,E-TENDER NOTICE NO.01 FOR 2026-2027 E-TENDER NOTICE NO.01 FOR 2026-2027,,2026_NASHI_1296612_1,RDD-CEO-NASHIK||NASHIK-Dy. CEO V.P.||IGATPURI||BHAVALI KH,0,55,21-04-2026 19:17
548,20-04-2026 17:55,25-04-2026 17:55,27-04-2026 17:55,E-TENDER NOTICE NO.01 FOR 2026-2027 E-TENDER NOTICE NO.01 FOR 2026-2027,,2026_NASHI_1296612_2,RDD-CEO-NASHIK||NASHIK-Dy. CEO V.P.||IGATPURI||BHAVALI KH,0,55,21-04-2026 19:17
549,20-04-2026 17:55,27-04-2026 18:00,28-04-2026 18:00,As Per NIT NPJ/87/2026,,2026_DMA_1296643_1,"Directorate Of Municipal Administration||Municipal Administration, Jalna||Nagar Panchayt Jafrabad","79,09,190",55,21-04-2026 19:17
550,20-04-2026 17:45,27-04-2026 17:45,29-04-2026 11:05,PROVIDING CONCRETING IN WARD NO 2 INTERNAL DASRENAGAR AREA FROM POTE HOUSE TO AMC/PWD/NDVSY/598 to 599/2025-26,,2026_ANMC_1296439_1,Ahmednagar Municipal Corporation,"16,11,248",55,21-04-2026 19:17
551,20-04-2026 17:45,27-04-2026 17:45,29-04-2026 11:05,CONCRETING ROAD IN WARD NO. 6 VAIDUWADI SHIVKRUPA COLONY AND INTERNAL AREA FOR AMC/PWD/NDVSY/598 to 599/2025-26,,2026_ANMC_1296439_2,Ahmednagar Municipal Corporation,"24,36,443",56,21-04-2026 19:17
552,20-04-2026 17:45,14-05-2026 17:45,18-05-2026 11:00,Supply of drinking water to AMC by private tankers with GPS system as per the requirement within the limits of the AMC Requesting the annual rates for the year 2026 2027 AMC/WS/Tankar/01/2026-27,,2026_ANMC_1296533_1,Ahmednagar Municipal Corporation,0,56,21-04-2026 19:17
553,20-04-2026 17:30,27-04-2026 17:30,29-04-2026 11:00,Quat/02/01/26-27/Detention Quat/02/01/26-27/Detention,,2026_PWDM_1296481_1,Public Works Department Mantralaya||CE-Electrical PWD Mumbai||SE-Electrical Circle PWD Mumbai||EE-Central Mumbai Electrical Division PWD Mumbai,0,56,21-04-2026 19:17
554,20-04-2026 17:30,27-04-2026 17:30,29-04-2026 11:00,Quat/02/02/26-27/PI bldg Quat/02/02/26-27/PI bldg,,2026_PWDM_1296488_1,Public Works Department Mantralaya||CE-Electrical PWD Mumbai||SE-Electrical Circle PWD Mumbai||EE-Central Mumbai Electrical Division PWD Mumbai,0,56,21-04-2026 19:17
555,20-04-2026 17:30,27-04-2026 17:30,29-04-2026 11:00,Quat/02/03/26-27/PSI bldg Quat/02/03/26-27/PSI bldg,,2026_PWDM_1296495_1,Public Works Department Mantralaya||CE-Electrical PWD Mumbai||SE-Electrical Circle PWD Mumbai||EE-Central Mumbai Electrical Division PWD Mumbai,0,56,21-04-2026 19:17
556,20-04-2026 17:30,27-04-2026 16:00,28-04-2026 16:30,Carrying out furniture works along with waterproofing treatment at R.D.M.C. office of Thane Mahapalika Bhavan TMC/PRO/PWD/HO/44/2026-27,,2026_TMC_1296597_1,Thane Municipal Corporation Thane||Public Works Department,"7,55,800",56,21-04-2026 19:17
557,20-04-2026 17:30,25-04-2026 18:30,27-04-2026 11:00,1) Beutification of Samaj Mandir in Magaswargiya Wasti TS No 629 2) Construction of Water Tank In Muslim Kabrasthan TS No 630 01_2026-27,,2026_BULDH_1296629_1,RDD-CEO-BULDHANA||BULDHANA-Dy. CEO V.P.||LONAR||MANDWA,NA,56,21-04-2026 19:17
558,20-04-2026 17:15,18-05-2026 15:05,19-05-2026 15:05,"Appointment of Consultant for CIDCO Parking Lots, Utilities and Advertisement Data Collection, Monitoring and Upgradation for Navi Mumbai Area. CANO02/CIDCO/TE(PandU)/26-27",,2026_CIDCO_1296542_1,City and Industrial Development Corporation of Maharashtra Ltd||Transportation and Communication Department,NA,56,21-04-2026 19:17
559,20-04-2026 17:15,04-05-2026 14:00,05-05-2026 14:00,Outsourcing of agency for manpower services to the Directorate of Archaeology and Museums for the World Heritage Desk Mumbai and Ratnagiri. Establishment/Tender-01/2026,,2026_TCADM_1296614_1,Tourism and Cultural Affairs Dept. Maharashtra||Directorate of Archaeology and Museums,NA,56,21-04-2026 19:17
560,20-04-2026 17:15,25-04-2026 17:15,27-04-2026 12:00,E TENDER NOTICE NO 1 E TENDER NOTICE NO 1-2026-27,,2026_NASHI_1296621_1,RDD-CEO-NASHIK||NASHIK-Dy. CEO V.P.||YEOLA||KUSUR,NA,56,21-04-2026 19:17
561,20-04-2026 17:10,04-05-2026 15:00,08-05-2026 11:00,Providing Catering Services for Year 2026-28 to RAMETI NAGPUR. Rameti/Cattering/02/2026-28,,2026_DOA_1296563_1,Department of Agriculture||Vasantrao Naik State Agricultural Extension Management Training Institute Nagpur||RAMETI - Nagpur,"50,00,000",57,21-04-2026 19:18
562,20-04-2026 17:00,28-04-2026 11:00,30-04-2026 11:05,DHULE/DMC/WD/DMC Fund/ 13/1-1/2026-27 CONSTRUCTION OF DMC CLINIC AT SR NO 451/2 IN DHULE DHULE/DMC/WD/DMC Fund/ 13/1-1/2026-27,,2026_DMCD_1296406_1,Dhule Municipal Corporation Dhule,"24,99,421",57,21-04-2026 19:18
563,20-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,"Appointment of PMC for regularisation of encroachment on Govt lad for residential purpose under PMAY (BLC) and surveying drone survey, total station, collection of documents, preparing plan and approval from all compentent aurhority etc 1449/2026 Dt. 17.04.2026 (Third call)",,2026_DMA_1296443_1,"Directorate Of Municipal Administration||Municipal Administration, Amravati||Municipal Council, Chandur Bajar||Civil Department",1,57,21-04-2026 19:18
564,20-04-2026 17:00,28-04-2026 17:00,30-04-2026 11:00,Construction of Rigid Concrete Pavement at Pauni Bus station in Bhandara Division E-Tender Notice No. 02 ( 2026-27),,2026_MSRTC_1296472_1,Maharashtra State Road Transport Corporation||Regional Office Nagpur||EE (Civil) ST Nagpur,"3,99,79,000",57,21-04-2026 19:18
565,20-04-2026 17:00,28-04-2026 17:00,30-04-2026 11:00,Construction of Rigid Concrete Pavement and Renovation of Tumsar Depot in Bhandara Division E-Tender Notice No. 02 ( 2026-27),,2026_MSRTC_1296472_2,Maharashtra State Road Transport Corporation||Regional Office Nagpur||EE (Civil) ST Nagpur,"7,55,15,000",57,21-04-2026 19:18
566,20-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,Supplying and Fitting Solar Highmast and Material for Jawhar Muncipal Council At Jawhar Taluka Jawhar District Palghar Ow/E-Notice/759/2026-27-1,,2026_DMA_1296480_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"55,64,998",57,21-04-2026 19:18
567,20-04-2026 17:00,28-04-2026 17:00,29-04-2026 17:00,Providing Electrical Installation to Gymkhana Hall and Kitchen Shed for Jawhar Municipal Council at Jawhar Taluka Jawhar District Palghar. Ow/E-Notice/759/2026-27-2,,2026_DMA_1296492_1,Directorate Of Municipal Administration||Municipal Administration Palghar||Municipal Council Jawhar,"13,75,844",57,21-04-2026 19:18
568,20-04-2026 17:00,05-05-2026 15:00,07-05-2026 15:00,"Curved Laminated Windshield Safety Glass With PVB film for Tata, Leyland, Scania and Volvo Buses and Front Windshield Laminated Safety Glass Curved Laminated Windshield Safety Glass With PVB film for Tata, Layland, Scania",,2026_MSRTC_1282393_1,Maharashtra State Road Transport Corporation||Central Office Mumbai||Stores and Purchase Department,"1,21,15,000",57,21-04-2026 19:18
569,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"CONSTRUCTION OF SUSHOBHIKAN OF MATANGIAAI DEVI MANDIR PARISAR WITH COMPOUND WALL, SABHA MANDAP , ROOMS AT MADHA NAGARPANCHYAT,MADHA NPMADHA/CIVIL/553/2026",,2026_DMA_1296557_1,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","55,63,849",57,21-04-2026 19:18
570,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"CONSTRUCTION OF COMPOUND WALL FOR OPEN SPACE IN GANESHNAGAR, WARD NO. 15 AT MADHA NAGARPANCHYAT,MADHA. NPMADHA/CIVIL/553/2026",,2026_DMA_1296557_2,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","14,32,470",57,21-04-2026 19:18
571,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"CONSTRUCTION OF SABHA MANDAP NEARBY MHASOBA MANDIR, MADHA AND AREA DEVELOPMENT At WARD NO 4 MADHA NAGAR PANCHAYAT, MADHA. NPMADHA/CIVIL/553/2026",,2026_DMA_1296557_3,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","50,00,000",58,21-04-2026 19:18
572,20-04-2026 17:00,28-04-2026 11:00,29-04-2026 11:00,NPA491/496/2026 NPA/491/496/2026,,2026_DMA_1296575_1,"Directorate Of Municipal Administration||Municipal Administration, Gadchiroli||Nagar Panchayat Aheri","94,77,854",58,21-04-2026 19:18
573,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"Modifications in the existing Pit composting shed at Madha Nagarpanchyat,Madha NPMADHA/CIVIL/554/2026",,2026_DMA_1296579_1,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","5,38,404",58,21-04-2026 19:18
574,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"Leachate collection tank for wet waste processing facility at Madha Nagarpanchyat,Madha NPMADHA/CIVIL/554/2026",,2026_DMA_1296579_2,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","1,33,910",58,21-04-2026 19:18
575,20-04-2026 17:00,04-06-2026 17:00,05-06-2026 15:00,"Lease of 12 Nos of plots within the Integrated Logistics Park in Pushpak Node, Navi Mumbai under the Pass-Through Policy CANo02/EOI/MM(Comm)/26-27",,2026_CIDCO_1296583_1,City and Industrial Development Corporation of Maharashtra Ltd||Engineering Department,NA,58,21-04-2026 19:18
576,20-04-2026 17:00,28-04-2026 11:00,29-04-2026 11:00,497/2026 497/2026,,2026_DMA_1296589_1,"Directorate Of Municipal Administration||Municipal Administration, Gadchiroli||Nagar Panchayat Aheri",0,58,21-04-2026 19:18
577,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"Construction of C,D Platform and Storage Facility for C,D waste at Madha Nagarpanchyat,Madha NPMADHA/CIVIL/554/2026",,2026_DMA_1296579_3,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","4,91,183",58,21-04-2026 19:18
578,20-04-2026 17:00,27-04-2026 17:00,28-04-2026 17:00,"Civil work of weight bridge including foundation and cabin at madha nagarpanchyat,Madha NPMADHA/CIVIL/554/2026",,2026_DMA_1296579_4,"Directorate Of Municipal Administration||Municipal Administration, Solapur||Nagar Panchayat Madha","7,59,504",58,21-04-2026 19:18
579,20-04-2026 17:00,27-04-2026 14:00,28-04-2026 14:00,CONSTRUCTION OF ROAD FROM PENDUR KHARAREWADI SAVARI TO MURLIDHAR SAWANT HOUSE TAL-MALWAN DIST. SINDHUDURG ETENDER/02/2026-27/GP KHARARE PENDUR,,2026_SINDH_1296592_1,RDD-CEO-SINDHUDURG||SINDHUDURG-Dy. CEO V.P.||MALVAN||PENDUR-KHARARE,"9,99,890",58,21-04-2026 19:18
580,20-04-2026 17:00,28-04-2026 11:00,29-04-2026 11:00,498/2026 498/2026,,2026_DMA_1296601_1,"Directorate Of Municipal Administration||Municipal Administration, Gadchiroli||Nagar Panchayat Aheri",0,58,21-04-2026 19:18
581,20-04-2026 17:00,04-05-2026 17:00,07-05-2026 11:00,ELECTRIC AND ELECTRIFICATION WORK for MAHATMA MUNGSAJI MAHARAJ MAGASWARGIYA AOUDYOGIK SAHAKARI SANSTHA MYDT MANORA at Gat No 499 Mouje Waigoul TQ MANORA DIST WASHIM TenderNoticeNo2/2026,,2026_CSWD_1296568_1,Commissioner Social Welfare Department Pune||Social Welfare Department Amravati Division||Social Welfare Department Washim||Mahatma Mungsaji Maharaj Aud Sah Sanstha Manora,NA,59,21-04-2026 19:18
582,20-04-2026 16:40,28-04-2026 17:00,29-04-2026 17:00,CALL FOR ALL Types of Building Materials GP_LAKHEGAON_26_27,,2026_GONDI_1296578_1,RDD-CEO-GONDIA||GONDIA-Dy. CEO V.P.||TIRORA||LAKHEGAON,NA,59,21-04-2026 19:18
583,20-04-2026 16:35,27-04-2026 18:15,28-04-2026 11:00,Renovation to Ladies I.T.I. Hostel Building at Dafrin Chowk Solapur. Tal- North Solapur.Dist.Solapur PWD Solapur Tender Notice No.01/2026-27,,2026_PWDRP_1296582_1,Public Works Region-Pune||Public Works Circle-Solapur||Public Works Division-Solapur,"89,34,735",59,21-04-2026 19:18
584,20-04-2026 16:30,27-04-2026 18:00,29-04-2026 14:00,Storage Bandhara at Pimpalner Panzara River Tal.Sakri Dist.Dhule Tender Notice No.01 for 2026-27,,2026_SSIP_1296475_1,CE Small Scale Irrigation (WC) Pune||SE Small Scale Irrigation (WC) Circle Nashik||EE Small Scale Irrigation (WC) Division Dhule,"1,37,16,162",59,21-04-2026 19:18
585,20-04-2026 16:00,04-05-2026 17:30,06-05-2026 14:30,STRENGHENING TO C.D.WORK AND ROAD MSH - 6 HASALA HIPPARSOGA GONDRI TO SH-236 LODGA ROAD (ODR-116) KM 3/500 TO 6/200 UNDER- DPDC (3054-3462) YEAR- 2025-26 ZPL/W/E-T/76/2025-26,,2026_LATUR_1294214_1,RDD-CEO-LATUR,"14,83,788",59,21-04-2026 19:18
